transaction_id,type,amount,old_balance,new_balance,is_flagged
TX001,WITHDRAWAL,100.00,500.00,400.00,0
TX002,DEPOSIT,250.00,400.00,650.00,0
TX003,WITHDRAWAL,50.00,650.00,600.00,0
TX004,WITHDRAWAL,75.00,600.00,525.00,0
TX005,DEPOSIT,1000.00,525.00,1525.00,0
TX006,WITHDRAWAL,200.00,1525.00,1325.00,0
TX007,WITHDRAWAL,60.00,1325.00,1265.00,0
TX008,DEPOSIT,45.00,1265.00,1310.00,0
TX009,WITHDRAWAL,300.00,1310.00,1010.00,0
TX010,WITHDRAWAL,10.00,1010.00,1000.00,0
TX011,WITHDRAWAL,500.00,1000.00,1000.00,0
TX012,DEPOSIT,20.00,1000.00,1020.00,0
TX013,WITHDRAWAL,15.00,1020.00,1005.00,0
TX014,WITHDRAWAL,999.00,1005.00,1005.00,1
TX015,DEPOSIT,5.00,1005.00,1010.00,0
